id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
9687,117546.0,2017.0, ул. Харьковская,"ул. Харьковская, дом 8 к. 2 стр. 2",ОПС Б1_2,False,False,55.5868963,37.65048400000001,"Харьковская улица, район Бирюлёво Западное, Южный административный округ, Москва, ЦФО, 115403, РФ",Южный административный округ, 115403,False,227892.0,50,42.01035207473901,1,18,0.6472857142857142,49.072428571428574,5,0,2,0,,14,113.67315469957704,6.0,11.0,1.0,"['пн.: 11:00—20:00 вт.—пт.: 09:00–20:00 сб.: 10:00—18:00 перерыв: пн., сб.: 13:00—14:00']",True
19519,117246.0,2018.0, ул. Херсонская,"ул. Херсонская, дом 37",ОПС Б1_2,False,False,55.65819499999999,37.561466700000004,"Херсонская улица, район Черёмушки, Юго-Западный административный округ, Москва, ЦФО, 117246, РФ",Юго-Западный административный округ, 117246,False,227892.0,23,191.5469728702907,0,15,2.9918571428571434,49.569428571428574,6,0,8,0,,14,158.9709893380006,6.0,12.0,1.0,['пн.—пт.: 08:00—20:00 сб.: 09:00—18:00'],True
12771,107553.0,2017.0, ул. Черкизовская Большая,"ул. Черкизовская Большая, дом 30, к.1",ОПС Б1_2,False,False,55.80082410000001,37.74366550000001,"Большая Черкизовская улица, Черкизово, район Преображенское, Восточный административный округ, Москва, ЦФО, 107553, РФ",Преображенское, 107553,False,188169.0,33,63.905177304694156,2,11,1.8052857142857144,79.01742857142857,3,3,3,0,,15,71.11513510866533,6.0,11.0,1.0,,True
9354,125319.0,2016.0, ул. Черняховского,"ул. Черняховского, дом 6 стр.2",ОПС Б1_2,False,False,55.80272049999999,37.5332598,"улица Черняховского, Аэропорт, район Аэропорт, Северный административный округ, Москва, ЦФО, 125319, РФ",Аэропорт, 125319,False,204955.0,21,69.08529439422756,3,13,3.69,74.24642857142857,8,1,10,0,,9,118.9567220265592,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00 перерыв: 13:00—14:00'],True
14095,117525.0,2017.0, ул. Чертановская,"ул. Чертановская, дом 32, стр. 4",ОПС Б1_2,False,False,55.6404122,37.6066184,"Чертановская, Чертановская улица, район Чертаново Северное, Южный административный округ, Москва, ЦФО, 117208, РФ",Чертаново Северное, 117208,False,162757.0,30,47.59766781821485,2,16,3.6430000000000002,49.841428571428565,3,0,1,0,,13,92.41988215722307,6.0,11.0,1.0,"пн.: 11:00—20:00, перерыв: 13:00—14:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00, пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00, пн.: 09:00—18:00 перерыв: 13:00—14:00 вт.—пт.: 09:00—18:00",True
14091,117570.0,2017.0, ул. Чертановская,"ул. Чертановская, дом 45 А, к.1",ОПС Б1_2,False,False,55.6404122,37.6066184,"Чертановская, Чертановская улица, район Чертаново Северное, Южный административный округ, Москва, ЦФО, 117208, РФ",Чертаново Северное, 117208,False,162757.0,36,62.06604750278132,1,20,2.3714285714285714,58.69385714285714,4,0,2,0,,13,180.70337314673253,6.0,11.0,1.0,"пн.: 11:00—20:00, перерыв: 13:00—14:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00, пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00, пн.: 09:00—18:00 перерыв: 13:00—14:00 вт.—пт.: 09:00—18:00",True
12774,117208.0,2017.0, ул. Чертановская,"ул. Чертановская, дом 9, к.2",ОПС Б1_2,False,False,55.6404122,37.6066184,"Чертановская, Чертановская улица, район Чертаново Северное, Южный административный округ, Москва, ЦФО, 117208, РФ",Чертаново Северное, 117208,False,162757.0,41,48.02283744237661,3,19,1.1931428571428568,58.52557142857143,5,0,6,0,,8,90.68008682495035,6.0,11.0,1.0,"пн.: 11:00—20:00, перерыв: 13:00—14:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00, пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00, пн.: 09:00—18:00 перерыв: 13:00—14:00 вт.—пт.: 09:00—18:00",True
14964,107207.0,2017.0, ул. Чусовская,"ул. Чусовская, дом 15",ОПС Б1_2,False,False,55.8137321,37.812032,"Чусовская улица, Черницыно, Гольяново, район Гольяново, Восточный административный округ, Москва, ЦФО, 107207, РФ",Гольяново, 107207,False,138406.0,66,70.01018288280979,2,19,1.722,54.07028571428572,2,1,0,0,,9,37.32089477626862,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
7579,115419.0,2016.0, ул. Шаболовка,"ул. Шаболовка, дом 69 /32",ОПС Б1_2,False,False,55.71884820000001,37.6091535,"улица Шаболовка, Бабий городок, район Якиманка, Центральный административный округ, Москва, ЦФО, 115162, РФ",Якиманка, 115162,True,327238.0,13,136.99671455735688,2,22,7.924571428571428,85.89371428571428,9,11,10,0,,11,46.87850380459526,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.–пт.: 09:00—20:00 сб.: 09:00—18:00'],True
16679,117449.0,2017.0, ул. Шверника,"ул. Шверника, дом 13, к.1",ОПС Б1_2,False,False,55.6937245,37.5802608,"улица Шверника, Академический, Академический район, Юго-Западный административный округ, Москва, ЦФО, 117312, РФ",Академический, 117312,False,194538.0,27,43.064292675383605,1,7,3.488,54.537,3,2,3,0,,10,73.12671297542595,6.0,9.0,1.0,['пн.—сб.: 09:00—18:00 перерыв: пн.: 14:00—15:00 сб.: 13:00—14:00'],True
